,Liv-ex 100,wine_12m_ret,Predicted_12M_Return,Signal,Strategy_Return,Cum_Strategy,Cum_BuyHold
2023-07-31,381.41,-0.0725141648226053,0.2030832493381116,1,-0.0725141648226053,26.005204519350432,2183608.232469978
2023-08-31,376.55,-0.0961570773625213,0.1973834530733864,1,-0.0961570773625213,23.504620056555062,1973638.8467309237
2023-09-30,376.34,-0.113137740073053,0.1758927707408772,1,-0.113137740073053,20.845360462080667,1750345.8078914005
2023-10-31,369.24,-0.1251480832109178,0.1722933774657191,1,-0.1251480832109178,18.23660355641062,1531293.3850775266
2023-11-30,364.3,-0.1336710185251242,0.159412371628793,1,-0.1336710185251242,15.798898184586312,1326603.8386334283
2023-12-31,360.37,-0.1412401105709655,0.1586688607538338,1,-0.1412401105709655,13.567460058095914,1139234.1657809757
2024-01-31,359.25,-0.1318689285196461,0.1690241436356181,1,-0.1318689285196461,11.77833363750171,989004.5770064655
2024-02-29,355.16,-0.1446050096339113,0.1870001907285365,1,-0.1446050096339113,10.075127588379354,845989.5606204632
2024-03-31,356.72,-0.1426442665897564,0.1865032037879713,1,-0.1426442665897564,8.63796840273676,725314.000203167
2024-04-30,351.93,-0.1500096609023282,0.1748477843545217,1,-0.1500096609023282,7.342189691757193,616509.8929849786
2024-05-31,349.73,-0.1379165845000985,0.1590020697326767,1,-0.1379165845000985,6.32957996671821,531482.9542339691
