time,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
01/10/1998,164,NaN,NaN,NaN,0,0,NaN,95.42867766,94.21626013,NaN,NaN,NaN,NaN
01/11/1998,164,NaN,NaN,NaN,0,0,NaN,95.42867766,94.07048,NaN,NaN,NaN,NaN
01/12/1998,163.9,NaN,NaN,NaN,0,1,NaN,92.75663986,93.71837901,92.75663986,NaN,NaN,NaN
01/01/1999,164.3,NaN,NaN,NaN,0,0,NaN,93.53627473,93.57904513,NaN,NaN,NaN,NaN
01/02/1999,164.5,NaN,NaN,NaN,0,0,NaN,93.8903705,93.7804177,NaN,NaN,NaN,NaN
01/03/1999,165,NaN,NaN,NaN,0,0,NaN,94.67565769,93.99355,NaN,NaN,NaN,NaN
01/04/1999,166.2,NaN,NaN,NaN,0,0,NaN,96.0033689,94.26018891,NaN,NaN,NaN,NaN
01/05/1999,166.2,NaN,NaN,NaN,0,0,NaN,96.0033689,94.48830758,NaN,NaN,NaN,NaN
01/06/1999,166.2,NaN,NaN,NaN,0,0,NaN,96.0033689,94.68053394,NaN,NaN,NaN,NaN
01/07/1999,166.7,NaN,NaN,NaN,0,0,NaN,96.46244405,94.87211579,NaN,NaN,NaN,NaN
01/08/1999,167.1,NaN,NaN,NaN,0,0,NaN,96.78099976,95.06519493,NaN,NaN,NaN,NaN
01/09/1999,167.9,NaN,NaN,NaN,0,0,NaN,97.30391403,95.27489667,NaN,NaN,NaN,NaN
01/10/1999,168.2,NaN,NaN,NaN,0,0,NaN,97.46989704,95.47628944,NaN,NaN,NaN,NaN
01/11/1999,168.3,NaN,NaN,NaN,0,0,NaN,97.52460344,95.66201879,NaN,NaN,NaN,NaN
01/12/1999,168.3,NaN,NaN,NaN,0,0,NaN,97.52460344,95.81172778,NaN,NaN,NaN,NaN
01/01/2000,168.8,NaN,NaN,NaN,0,0,NaN,97.80039669,95.98113628,NaN,NaN,NaN,NaN
01/02/2000,169.8,NaN,NaN,NaN,0,0,NaN,98.22608075,96.37181063,NaN,NaN,NaN,NaN
01/03/2000,171.2,NaN,NaN,NaN,0,0,NaN,98.62676381,96.73541699,NaN,NaN,NaN,NaN
01/04/2000,171.3,NaN,NaN,NaN,0,0,NaN,98.65021625,97.07540598,NaN,NaN,NaN,NaN
01/05/2000,171.5,NaN,NaN,NaN,0,0,NaN,98.69810499,97.36272364,NaN,NaN,NaN,NaN
01/06/2000,172.4,NaN,NaN,NaN,0,0,NaN,98.88910725,97.56884781,NaN,NaN,NaN,NaN
01/07/2000,172.8,NaN,NaN,NaN,0,0,NaN,98.96199651,97.78017835,NaN,NaN,NaN,NaN
01/08/2000,172.8,NaN,NaN,NaN,0,0,NaN,98.96199651,97.99150889,NaN,NaN,NaN,NaN
01/09/2000,173.7,NaN,NaN,NaN,0,0,NaN,99.11373832,98.18088706,NaN,NaN,NaN,NaN
01/10/2000,174,NaN,NaN,NaN,0,0,NaN,99.15792783,98.35066763,NaN,NaN,NaN,NaN
01/11/2000,174.1,NaN,NaN,NaN,0,0,NaN,99.17273477,98.48415483,NaN,NaN,99.17273477,NaN
01/12/2000,174,NaN,NaN,NaN,0,0,NaN,97.32964737,98.474137,97.32964737,NaN,NaN,NaN
01/01/2001,175.1,NaN,NaN,NaN,0,0,NaN,97.81146665,98.49462723,NaN,NaN,NaN,NaN
01/02/2001,175.8,NaN,NaN,NaN,0,0,NaN,98.05230545,98.53232023,NaN,NaN,NaN,NaN
01/03/2001,176.2,NaN,NaN,NaN,0,0,NaN,98.17583851,98.5591375,NaN,NaN,NaN,NaN
01/04/2001,176.9,NaN,NaN,NaN,0,0,NaN,98.37060389,98.56946058,NaN,NaN,NaN,NaN
01/05/2001,177.7,NaN,NaN,NaN,0,0,NaN,98.55985226,98.56468118,NaN,NaN,NaN,NaN
01/06/2001,178,NaN,NaN,NaN,1,0,NaN,98.62437623,98.56283547,NaN,NaN,98.62437623,NaN
01/07/2001,177.5,NaN,NaN,NaN,0,0,NaN,91.28362725,98.03322991,NaN,NaN,NaN,NaN
01/08/2001,177.5,NaN,NaN,NaN,0,0,NaN,91.28362725,97.48998134,NaN,NaN,NaN,NaN
01/09/2001,178.3,NaN,NaN,NaN,1,0,NaN,92.34140528,97.01708197,NaN,NaN,NaN,NaN
01/10/2001,177.7,NaN,NaN,NaN,0,0,NaN,84.09828159,95.95538805,NaN,NaN,NaN,NaN
01/11/2001,177.4,NaN,NaN,NaN,0,0,NaN,80.24129649,94.60735649,NaN,NaN,NaN,NaN
01/12/2001,176.7,NaN,NaN,NaN,0,1,NaN,71.94947511,92.66389558,71.94947511,NaN,NaN,NaN
01/01/2002,177.1,NaN,NaN,NaN,0,0,NaN,73.62659765,90.8391715,NaN,NaN,NaN,NaN
01/02/2002,177.8,NaN,NaN,NaN,0,0,NaN,76.29740428,89.33686842,NaN,NaN,NaN,NaN
01/03/2002,178.8,NaN,NaN,NaN,0,0,NaN,79.49244764,88.02836706,NaN,NaN,NaN,NaN
01/04/2002,179.8,NaN,NaN,NaN,0,0,NaN,82.09207343,86.88835049,NaN,NaN,NaN,NaN
01/05/2002,179.8,NaN,NaN,NaN,0,0,NaN,82.09207343,85.73951013,NaN,NaN,NaN,NaN
01/06/2002,179.9,NaN,NaN,NaN,0,0,NaN,82.35153516,84.59529093,NaN,NaN,NaN,NaN
01/07/2002,180.1,NaN,NaN,NaN,0,0,NaN,82.88561237,83.47570237,NaN,NaN,NaN,NaN
01/08/2002,180.7,NaN,NaN,NaN,0,0,NaN,84.40985212,82.46037922,NaN,NaN,NaN,NaN
01/09/2002,181,NaN,NaN,NaN,0,0,NaN,85.12328584,82.02035483,NaN,NaN,NaN,NaN
01/10/2002,181.3,NaN,NaN,NaN,0,0,NaN,85.82200537,81.63023898,NaN,NaN,NaN,NaN
01/11/2002,181.3,NaN,NaN,NaN,0,0,NaN,85.82200537,81.16456756,NaN,NaN,NaN,NaN
01/12/2002,180.9,NaN,NaN,NaN,0,1,NaN,80.01097019,80.87261674,NaN,NaN,NaN,NaN
01/01/2003,181.7,NaN,NaN,NaN,0,0,NaN,82.55509357,81.03788796,NaN,NaN,NaN,NaN
01/02/2003,183.1,NaN,NaN,NaN,0,0,NaN,85.9300097,82.03649758,NaN,NaN,NaN,NaN
01/03/2003,184.2,NaN,NaN,NaN,1,0,NaN,87.90924369,83.05668658,NaN,NaN,87.90924369,87.90924369
01/04/2003,183.8,NaN,NaN,NaN,0,0,NaN,83.31936423,83.55825515,NaN,NaN,NaN,NaN
01/05/2003,183.5,NaN,NaN,NaN,0,1,NaN,79.94789116,83.59078683,79.94789116,NaN,NaN,NaN
01/06/2003,183.7,NaN,NaN,NaN,0,0,NaN,80.51398725,83.47806639,NaN,NaN,NaN,NaN
01/07/2003,183.9,NaN,NaN,NaN,0,0,NaN,81.08893808,83.40641386,NaN,NaN,NaN,NaN
01/08/2003,184.6,NaN,NaN,NaN,0,0,NaN,82.98162404,83.45142021,NaN,NaN,NaN,NaN
01/09/2003,185.2,NaN,NaN,NaN,1,0,NaN,84.42089645,83.56108336,NaN,NaN,84.42089645,84.42089645
01/10/2003,185,NaN,NaN,NaN,0,0,NaN,81.93347324,83.38419915,NaN,NaN,NaN,NaN
01/11/2003,184.5,NaN,NaN,NaN,0,0,NaN,75.9115878,82.72622072,NaN,NaN,NaN,NaN
01/12/2003,184.3,NaN,NaN,NaN,0,1,NaN,73.58195682,81.85193154,73.58195682,NaN,NaN,NaN
01/01/2004,185.2,NaN,NaN,NaN,0,0,NaN,77.00223813,81.22194817,NaN,NaN,NaN,NaN
01/02/2004,186.2,NaN,NaN,NaN,0,0,NaN,80.08711319,81.22738695,NaN,NaN,NaN,NaN
01/03/2004,187.4,NaN,NaN,NaN,0,0,NaN,83.0289966,81.26123717,NaN,NaN,NaN,NaN
01/04/2004,188,NaN,NaN,NaN,0,0,NaN,84.27957308,81.14334884,NaN,NaN,NaN,NaN
01/05/2004,189.1,NaN,NaN,NaN,0,0,NaN,86.27622533,81.02670467,NaN,NaN,NaN,NaN
01/06/2004,189.7,NaN,NaN,NaN,1,0,NaN,87.22903276,81.30596671,NaN,NaN,87.22903276,NaN
01/07/2004,189.4,NaN,NaN,NaN,0,0,NaN,84.08557421,81.6015155,NaN,NaN,NaN,NaN
01/08/2004,189.5,NaN,NaN,NaN,0,0,NaN,84.28881878,81.87114632,NaN,NaN,NaN,NaN
01/09/2004,189.9,NaN,NaN,NaN,0,0,NaN,85.10808169,82.15822801,NaN,NaN,NaN,NaN
01/10/2004,190.9,NaN,NaN,NaN,0,0,NaN,86.9413922,82.44106859,NaN,NaN,NaN,NaN
01/11/2004,191,NaN,NaN,NaN,1,0,NaN,87.1122548,82.63330847,NaN,NaN,NaN,NaN
01/12/2004,190.3,NaN,NaN,NaN,0,1,NaN,79.29132271,82.44458343,79.29132271,NaN,NaN,NaN
01/01/2005,190.7,NaN,NaN,NaN,0,0,NaN,80.37555722,82.76343839,NaN,NaN,NaN,NaN
01/02/2005,191.8,NaN,NaN,NaN,0,0,NaN,83.00996247,83.43686737,NaN,NaN,NaN,NaN
01/03/2005,193.3,NaN,NaN,NaN,0,0,NaN,85.80777707,84.06583444,NaN,NaN,NaN,NaN
01/04/2005,194.6,NaN,NaN,NaN,1,0,NaN,87.69846811,84.60950264,NaN,NaN,NaN,NaN
01/05/2005,194.4,NaN,NaN,NaN,0,0,NaN,85.80459015,84.80775933,NaN,NaN,NaN,NaN
01/06/2005,194.5,NaN,NaN,NaN,0,0,NaN,85.96776065,84.92834415,NaN,NaN,NaN,NaN
01/07/2005,195.4,NaN,NaN,NaN,0,0,NaN,87.37437137,85.00678316,NaN,NaN,NaN,NaN
01/08/2005,196.4,NaN,NaN,NaN,0,0,NaN,88.72658304,85.11375103,NaN,NaN,NaN,NaN
01/09/2005,198.8,NaN,NaN,NaN,0,0,NaN,91.17066423,85.61982889,NaN,NaN,NaN,NaN
01/10/2005,199.2,NaN,NaN,NaN,1,0,NaN,91.50137047,86.13501116,NaN,NaN,91.50137047,NaN
01/11/2005,197.6,NaN,NaN,NaN,0,0,NaN,78.78904842,85.68365164,NaN,NaN,NaN,NaN
01/12/2005,196.8,NaN,NaN,NaN,0,1,NaN,73.30518453,84.7096368,73.30518453,NaN,NaN,NaN
01/01/2006,198.3,NaN,NaN,NaN,0,0,NaN,76.59462726,83.95837769,NaN,NaN,NaN,NaN
01/02/2006,198.7,NaN,NaN,NaN,0,0,NaN,77.39457479,83.8228957,NaN,NaN,NaN,NaN
01/03/2006,199.8,NaN,NaN,NaN,0,0,NaN,79.47236734,83.75838214,NaN,NaN,NaN,NaN
01/04/2006,201.5,NaN,NaN,NaN,0,0,NaN,82.19599715,83.70024176,NaN,NaN,NaN,NaN
